total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
29773,14,7113,3762,277,491,25581,23822,1590,793,5549,0,12386,13020,634,2329,7458,774,556,14466,43076,40.2,2832,
61586,38,17739,8114,1978,449,59725,20576,3906,4320,13083,0,20158,22616,2458,2963,13195,2362,1568,32990,32972,41.9,3974,
64633,54,16599,3866,340,680,57190,38063,3884,537,13985,107,30706,31824,1118,10430,18389,500,2238,35051,92237,39,5909,
123824,88,29995,16448,1505,573,98587,25840,8841,3799,21819,117,60183,63738,3555,13718,37927,2769,2529,59798,49508,32.7,12301,
107699,55,27550,13501,1170,611,82147,26436,8382,2947,20474,3694,47636,50887,3251,9288,29044,2638,3310,56514,51923,36.1,7278,
25817,4,7093,2970,502,563,22324,31208,1661,577,5561,42,13099,13610,511,3480,6423,524,700,13570,60604,42.3,1598,
22017,5,5929,2684,335,544,20746,24991,1724,694,4805,3,10357,11052,695,1974,5084,418,740,11905,51681,40.5,1278,
72438,60,17039,8236,1093,568,48058,21393,7542,2819,12412,7493,24118,26227,2109,3913,18233,2405,1323,32941,41849,28.4,5295,
49969,23,12697,8089,629,558,40941,28001,2945,1044,9137,46,23685,25516,1831,6189,11607,1321,827,26768,53539,40.7,2643,
24392,3,5111,3663,498,473,23059,19032,1428,991,3638,5,10073,10546,473,1470,8230,848,586,10739,36411,30.7,1563,
45985,101,12626,5920,894,437,40829,23288,3424,1879,9585,33,18920,20116,1196,2879,9962,1223,1520,24087,44048,41.3,3285,
59901,17,15846,7130,1286,445,57462,20446,3711,2914,11263,85,22550,25023,2473,3259,13575,1706,1196,31861,37235,39.6,4668,
65285,47,16240,11317,821,487,54551,29881,4405,2661,11983,74,28766,30260,1494,6875,14782,2203,1505,33826,42894,42.1,4937,
51667,48,14131,4406,763,615,46290,28195,3670,1370,10388,0,23854,25629,1775,5790,13696,909,1331,26362,55450,37.4,3202,
88376,46,20737,12299,971,546,79374,23733,6259,3185,15583,66,41594,44683,3089,9966,27653,1792,2377,42430,46674,34,6930,
27385,18,7412,3048,733,411,26512,18477,1863,1123,5476,13,9584,10646,1062,1594,6455,529,1005,13895,35095,41.1,1668,
12189,10,3357,1152,212,398,11629,20059,812,555,2399,2,4462,4839,377,636,2818,373,475,6179,38763,39.9,634,
11044,11,3046,1421,190,345,10425,23448,639,510,2385,0,4626,4875,249,488,2230,316,409,5717,37388,44.4,858,
20628,20,5693,2012,351,422,19680,21652,1589,625,4474,8,8443,9127,684,1274,4337,535,738,10678,40598,40.6,1422,
8268,11,1990,1386,79,374,7527,27098,342,291,1663,0,2829,2929,100,519,1145,71,243,4556,50268,49.2,385,
17748,9,4625,1707,590,376,15925,11492,1252,1453,3299,0,4493,5337,844,559,3922,816,235,9669,19264,39.2,1317,
15805,27,4331,2067,410,335,15019,18319,1047,732,3520,0,5769,6235,466,667,3269,387,503,7956,33031,43.1,957,
9361,21,2723,1103,134,361,9011,22884,655,305,2171,13,3838,4133,295,382,2037,197,344,4727,44242,41.5,691,
27469,32,6982,4081,927,345,25951,14754,1834,2507,4571,16,7559,8306,747,897,5752,1871,479,14441,23558,41.6,2250,
8700,11,2534,841,231,380,8334,22438,629,246,2080,0,3614,3852,238,365,2112,125,407,4383,49135,40.2,646,
23011,5,6950,3115,862,376,22485,18085,1269,1739,4842,0,7058,8036,978,1035,4820,935,717,12401,30293,41.8,1378,
20017,1,5417,2699,500,526,17050,25994,1299,630,3956,0,9357,10053,696,1712,4355,484,618,10317,47886,42.1,1252,
15844,5,4287,1967,366,401,15405,18885,1036,959,3418,0,5065,5496,431,715,3273,542,352,8336,32703,40.9,1001,
31424,10,7797,4467,1169,370,30167,15869,1948,2590,5224,0,9321,10441,1120,967,7601,1290,347,15856,26061,39.7,2315,
18012,5,5505,1173,128,487,17012,30779,1106,321,4583,0,9070,9610,540,1453,4187,128,660,10278,68916,40.7,1192,
46252,49,12317,6402,577,510,40237,23958,3364,1673,8627,17,20942,21991,1049,2978,10740,1592,1053,24429,43458,40.4,3655,
23064,16,6003,2768,478,417,22487,19925,1602,1292,4700,0,6892,7588,696,1410,5078,1065,387,12225,35629,41.9,1437,
45831,30,11852,4517,419,632,36847,30240,3687,898,9301,32,22446,23471,1025,4447,10492,563,1572,24480,63171,38.8,3585,
