total_pop,deaths,family_households,nonfamily_households,rent_burden_not_computed,median_rent,white_pop,income_per_capita,families_with_young_children,income_less_10000,married_households,armed_forces,employed_pop,civilian_labor_force,unemployed_pop,bachelors_degree,in_school,no_cars,four_more_cars,pop_25_64,median_income,median_age,confirmed_cases,
6203,0,1726,994,64,595,5929,23022,327,208,1362,0,2784,2933,149,427,1106,161,174,3222,38767,50,111,
160985,78,37357,27549,1158,1068,143657,36384,9127,3080,30000,207,90054,93881,3827,30524,46011,4789,2947,83417,66906,36.6,3636,
173145,187,44233,19148,1358,833,108627,27420,12768,3732,31088,2394,78078,83641,5563,16509,47229,3959,4418,86827,57647,37.3,11548,
126190,122,32696,16912,1312,938,115206,39568,5534,2337,26684,129,64576,68718,4142,21818,34665,2260,3499,62046,77862,44.1,5521,
60383,79,16319,8260,398,824,57523,33849,3127,1121,13162,22,30674,32263,1589,8666,12818,1356,1936,32203,65834,46.7,2496,
83204,6,21983,13438,890,1066,71549,43603,4167,1921,16898,2705,41471,43820,2349,16852,18356,2735,2038,43509,75463,44.6,3578,
25191,1,6315,4086,440,797,23895,31390,1545,596,4939,2,13437,13963,526,4006,5862,480,687,13493,54899,40.5,312,
151596,125,35732,19146,886,923,129519,37830,7516,2036,28894,134,80613,85575,4962,21525,48305,2557,4560,73928,81312,37.9,6255,
36825,5,9418,5283,413,803,34245,31051,1901,590,7646,14,19872,20779,907,5487,9391,843,878,18682,61875,43.4,527,
30576,4,7331,4763,309,647,29070,25896,1727,685,5930,2,14475,15216,741,3602,6837,761,702,15921,47371,43.7,307,s
10912,2,2298,1463,162,1515,8050,47924,562,48,1856,20,6408,6659,251,1960,2203,359,152,6326,91942,39.8,990,
509114,1104,131072,53123,2953,1050,416813,39247,31705,7715,100458,275,261653,278442,16789,79833,127500,10964,11629,267231,82081,42.6,32246,
213900,303,58437,36574,1924,1052,192917,40886,9009,3533,46966,516,104246,110258,6012,39428,39018,5038,4509,104241,68048,52.4,7499,
76109,9,19198,11331,566,835,71930,32072,4333,1630,14880,18,40037,41920,1883,10363,18937,1664,2165,38898,60148,42.5,1987,
127751,187,32702,22361,1286,689,113686,33245,6485,3308,23566,13,63947,68648,4701,16997,28439,5073,2013,65447,55190,46.5,4081,
70926,95,17919,12593,835,767,64668,33010,3628,1399,13808,0,36953,39234,2281,9936,15018,2200,1581,39077,57307,45.9,1615,
89280,10,21412,13444,722,810,81439,35255,4348,1791,17363,16,45847,47781,1934,12183,22341,2150,1674,45551,61036,42.9,1614,
47524,4,14061,7142,465,803,45668,35646,2192,891,11703,28,23324,24470,1146,7979,8236,1020,1418,24552,58139,51.4,1268,
184454,244,49751,24854,1378,818,164992,40619,9089,2664,40248,26,98166,104461,6295,27496,39809,4072,6214,100022,76438,46.9,9191,
6950,0,2092,860,72,836,6479,38635,316,129,1744,4,3766,3961,195,1202,1336,91,221,3943,66111,48.1,78,
17275,0,3870,2269,253,1224,15021,42956,826,314,3063,6,9172,9454,282,3591,3206,210,204,9068,67535,45.9,676,
26951,5,7360,4138,304,615,25734,25392,1475,769,5598,10,12227,12785,558,2687,5416,849,573,13959,45664,45.4,326,
36054,3,9764,5516,253,780,34160,31313,1954,856,7285,0,17605,18409,804,5409,7888,1144,657,17952,52251,46.6,784,
147958,92,38156,19091,1020,889,137801,34475,8613,2380,30629,170,77527,80766,3239,22026,34807,2884,4246,79906,69856,42.8,6092,
43332,9,11151,7908,454,746,40499,29819,2259,1169,8502,0,21882,23182,1300,6812,8957,1379,877,23091,50831,46.8,709,
126552,47,31265,17278,562,912,115654,32540,7324,2073,24838,403,69103,72292,3189,18165,36099,3094,3235,64167,67805,37,4917,
43073,8,11599,6181,348,775,41105,31301,2337,849,8698,8,21646,22483,837,5232,8439,1143,1099,23130,59419,46.1,855,
49028,78,12410,7111,369,861,45446,42360,2342,987,10115,54,25027,26132,1105,8420,13169,1183,1224,24685,74630,44.1,3251,
164110,298,42571,24028,1528,987,138523,43695,8379,2628,34178,182,88344,93059,4715,27082,38410,3797,5445,88585,81673,45.1,8497,
58691,11,15279,9440,546,764,55387,32137,3316,1265,11835,41,31703,33003,1300,9466,13551,1890,1063,31375,60602,43.5,1042,
55485,4,14918,9203,572,810,52696,34264,2915,1239,12075,16,28099,29414,1315,8535,10977,1341,1046,29820,56828,47.4,743,
302479,164,83861,36094,1372,1049,281776,43474,16498,3171,68130,798,170757,178486,7729,55341,67892,3724,10680,169291,85619,44.1,14289,
116674,109,29630,14899,663,723,97434,29993,6887,2585,21119,125,59022,63879,4857,11950,29328,3335,3472,62979,62553,41,7402,
270772,325,69729,37464,2366,908,206261,36881,15930,5329,51424,6974,133786,143792,10006,34115,62904,6640,7508,143444,69411,41,15086,
28901,1,7969,4306,224,715,27649,29651,1575,575,6277,0,15343,16025,682,3702,5951,581,947,15550,56584,45.7,392,
32119,21,8725,5154,340,601,30058,25895,1369,720,6771,39,14728,15685,957,3033,5863,1061,638,17494,45386,48,983,
59676,9,15099,10061,434,705,57018,28443,3024,1421,12030,35,30152,31631,1479,8137,13040,2081,1215,31170,52635,46.4,673,
469188,1138,115757,63174,3309,741,300617,28072,30377,13672,74185,433,215324,233954,18630,49416,120867,24280,8026,241022,52205,38.7,33547,
775860,1862,195222,96437,5455,998,558478,38604,50596,16251,142008,377,397621,423072,25451,124302,191338,31177,13856,410596,73533,40.8,71834,
557016,1242,142267,73636,4405,716,461175,32406,34864,12321,101394,206,278538,299300,20762,66555,135245,23604,12048,298273,62514,40.9,45439,
164012,227,43150,25863,1212,899,146824,37157,9322,3484,33292,118,87822,93565,5743,24534,35325,4171,4015,91331,69047,43.7,11802,
48816,33,12788,5861,376,773,45986,30624,3368,895,10128,81,25865,27051,1186,5594,10419,1079,1442,26754,62214,39.9,673,
215551,320,59507,26815,2269,767,161347,31874,13159,4469,46413,145,94271,100385,6114,23094,40992,3441,5829,105187,57901,48.3,18844,
1582857,2969,385660,208124,11378,1318,1160650,47616,103219,26940,306560,1475,862873,906269,43396,297546,413398,62318,24499,878390,92878,38.5,93861,
897417,2017,226604,122267,7897,886,560997,37817,55147,20872,161723,428,445468,480859,35391,132166,225913,37698,17219,477862,69936,40.4,58705,
555036,514,131765,70889,5084,944,324937,34541,37650,12905,94489,477,269164,287732,18568,77875,144240,14360,11131,298961,68336,37.8,40753,
196325,45,44937,22117,3566,958,59540,26959,13771,6085,32268,205,84962,91187,6225,26418,42731,3052,4460,101900,56395,42.1,2088,
818249,1729,202054,103921,6986,846,637093,34691,51818,16566,151564,474,413989,440681,26692,120813,210211,27966,16674,440303,69313,40.1,54092,
71093,1,15723,6840,966,1120,21059,30515,5410,1153,12083,252,35783,37434,1651,9793,13878,1064,2460,37446,72330,42.1,175,
161197,220,34930,23852,1632,919,135791,32198,6961,3672,26396,125,84348,90179,5831,22348,56788,4569,3076,74421,64974,36.1,5081,
164094,20,37230,17151,2012,1186,50064,32379,11278,2752,27386,257,83785,88133,4348,20711,34804,3096,5314,89429,72762,40.9,1618,
406371,503,106062,52077,2058,997,348156,37622,25892,6143,81728,287,219781,230844,11063,66236,97392,9109,10792,224986,75777,40.5,23111,
990060,255,219859,91592,8963,1488,185366,33776,72798,15056,164797,39584,467165,489321,22156,152164,238821,30374,26153,517352,80078,37.6,20018,
780685,1490,151644,152032,10082,1273,355132,38031,48857,32068,87496,825,423215,455769,32554,130501,215479,98803,3342,448047,61242,32.6,66066,
947328,1853,236410,101268,6484,1215,595323,53433,62932,15677,181175,218,474458,513567,39109,165926,254240,26392,22217,501475,89773,40.2,67617,
694389,1400,173787,88537,4077,1339,532276,49816,44935,10363,139865,208,367385,388609,21224,138379,178866,24100,12822,374343,95668,41,35740,
633704,1476,148061,90404,6699,780,394363,29025,42504,21321,96638,309,307175,332470,25295,72891,162437,29510,9787,337546,52530,37.3,67526,
862127,1706,205240,122162,8775,917,553000,35085,52432,21287,145850,479,425229,460606,35377,111795,220914,37762,18307,456245,64872,40.1,58627,
672391,861,121411,156574,9838,1330,241901,50832,48122,26654,70359,3441,357701,388980,31279,113830,166054,99368,2539,398074,77649,33.9,34259,
86,0,15,38,23,633,18,46024,0,7,15,4,63,63,0,11,5,13,4,67,61750,57.6,0,
917,0,233,125,36,881,461,42002,58,9,175,13,508,545,37,99,214,27,38,561,79500,41.8,0,
5453,4,1230,729,264,380,1164,21057,495,267,653,18,2082,2592,510,255,1398,1012,53,2765,37819,34.7,254,
1038,0,202,221,30,908,816,39376,45,5,153,0,701,761,60,203,158,37,37,712,70673,42.9,15,
2146,1,541,261,45,690,935,33704,134,21,389,5,1039,1177,138,248,334,229,17,1243,57900,48.9,50,
7715,0,1414,435,195,1038,856,21879,915,117,724,0,2654,3323,669,292,2219,1167,4,3536,61533,26.6,510,
2537,0,600,487,34,890,2003,35907,170,34,506,0,1437,1477,40,403,425,84,191,1297,70640,45,15,
32434,3,7879,4394,160,1098,21214,41904,2264,370,6220,236,17970,18876,906,5832,7960,961,569,18667,90749,38,975,
5784,0,707,511,423,1012,1435,35998,306,25,520,89,3961,4038,77,517,1022,199,47,3828,85192,37.7,110,
9869,0,2198,699,270,1140,1466,20952,1090,209,1090,47,3639,4363,724,534,2877,1600,35,4724,53821,27.9,293,
3338,0,517,295,131,775,516,31254,115,29,324,5,2405,2464,59,196,451,182,13,2281,66607,42.7,29,
2475,0,699,385,52,652,1595,29943,133,41,535,0,1095,1178,83,239,477,148,45,1302,56094,49.1,18,
2303,0,373,305,30,725,1905,33084,81,31,317,34,1529,1558,29,483,371,13,81,1416,83295,38.4,58,
100031,24,23329,13067,980,1163,71100,35328,8967,1125,18723,6534,46725,50772,4047,12885,27757,1849,3382,53194,76250,31,5504,
8810,0,2112,1433,220,888,5498,36617,480,176,1525,70,4702,4949,247,1210,2019,563,91,4943,70765,38.9,270,
101135,18,21543,9070,785,951,80824,30409,8181,1479,17541,581,42695,47341,4646,8812,26854,1090,3714,54336,74887,34.9,7117,
682,0,146,109,24,732,298,32393,52,12,94,0,377,403,26,81,131,32,13,385,64583,39.4,0,
8129,3,1456,296,250,194,307,11693,1134,168,695,5,2125,2983,858,119,2642,1532,1,3484,36468,24,1017,
6473,1,1502,813,121,652,2931,26695,442,156,1031,0,2780,3213,433,478,1401,268,109,3560,52114,41,67,
6889,3,1412,727,121,913,5162,31051,520,102,1095,109,2941,3361,420,449,1644,127,316,3633,63866,36.6,382,
3275,0,811,444,36,759,2199,35044,253,69,609,12,1644,1726,82,429,678,201,41,1631,63490,41.7,38,
17957,12,3406,1118,468,1025,1826,18654,2114,366,1945,6,6075,7531,1456,748,5422,2521,32,8311,53853,26.9,3014,
13745,1,3410,1860,119,979,8854,33771,982,192,2560,155,6899,7420,521,1534,3047,578,255,7653,67321,39.5,242,
9439,2,1823,1026,123,820,6628,37935,659,114,1536,201,4755,5139,384,1475,2137,199,153,5274,86019,40,346,
4974,1,1005,400,168,824,808,24647,550,107,606,0,1989,2245,256,285,1333,558,50,2474,58708,30.1,130,
13773,2,3175,1363,325,1162,6901,32625,1353,155,2431,533,7010,7406,396,1374,3515,327,249,7761,74167,33.1,955,
9757,3,1591,450,198,859,3052,48777,813,98,796,63,5412,5977,565,707,2164,775,15,5895,77266,34.6,927,
57961,15,13915,7864,676,842,46943,33336,4220,1008,11105,107,25564,27961,2397,6139,12766,1441,1498,31383,65279,40.6,3615,
298225,127,70757,35255,1628,1173,176518,38977,25692,3142,52456,8206,152751,162145,9394,42216,77720,6208,7288,164162,82271,33.1,24191,
1301,0,279,129,45,565,283,23434,96,23,149,0,581,669,88,66,345,200,5,691,45208,32.3,98,
22580,47,5302,1614,276,445,16849,20911,1444,432,4013,2,8171,8899,728,1289,4626,394,741,12457,43404,39.8,2170,
14021,19,4049,1970,304,282,12061,21152,799,592,3303,0,5376,5835,459,880,3016,393,442,7049,36016,44.5,1184,
17110,21,4545,2182,243,398,11757,23983,1033,552,3625,10,6949,7445,496,1087,3517,427,628,8535,45569,43.5,1550,
19743,29,4617,3358,706,349,8909,22996,1398,1429,3102,0,6645,7620,975,1315,4829,922,513,9869,32255,42.1,2008,
10362,35,2997,1312,479,337,2515,18976,743,712,1415,0,3533,3979,446,671,2253,558,407,5264,29785,40.7,1115,
10955,15,2548,1656,261,342,7150,20342,455,294,1977,0,3897,4395,498,611,1899,236,437,5813,34792,45.9,605,
8533,23,1843,1182,326,317,1459,14197,591,679,990,0,2411,2830,419,486,1837,432,197,4177,20954,42,762,
12649,20,3107,1609,288,343,6362,16337,904,644,2077,0,3945,4614,669,458,2619,289,298,6108,30434,44.5,951,
13407,45,3742,1596,333,336,10753,21330,815,540,2737,0,5509,5888,379,562,2835,171,763,6847,37287,43.8,1270,
13188,24,3594,1869,301,351,7420,20994,710,702,2432,0,4301,4769,468,745,2718,567,560,6613,32122,45.8,515,
20170,31,4929,2691,562,285,10914,20089,1195,1067,3453,0,6903,7861,958,1248,4416,744,768,10599,36220,42.1,1969,
33288,47,9325,3731,716,354,25492,22419,2164,1194,7134,11,12476,13448,972,1671,7198,629,1631,17763,43779,42,2452,
9680,18,1810,1229,375,290,2843,13449,710,682,807,0,2478,2810,332,512,2677,435,204,4067,22973,37.6,982,
14995,42,3661,2003,595,301,5925,20269,941,812,2327,22,5252,5949,697,1008,3490,650,417,7451,34679,39.8,1774,
22530,35,6069,2798,730,379,16955,20983,1436,935,4615,0,8565,9095,530,1415,4851,505,813,11165,39485,42.7,1415,
19358,35,4614,3238,732,376,2992,19564,1060,1420,2437,8,7348,8599,1251,1332,5804,1141,851,8840,32308,38,1168,
57667,83,15309,5381,1149,436,50381,22021,3737,1672,12084,27,21380,22471,1091,3416,12428,857,2881,29467,47412,40.9,5320,
30058,50,8780,3673,588,304,27637,21835,1634,1162,6548,29,11899,12590,691,1784,6246,654,1252,15265,35719,44.1,2473,
21745,17,5107,3100,1889,332,11842,17264,1446,1996,3573,0,6154,7845,1691,1079,4397,955,441,10746,26036,41.7,1473,
26201,36,6041,3150,611,373,11985,17561,1604,1234,4005,0,8878,10139,1261,1403,5317,885,764,13863,33368,39.7,1738,
40756,107,11456,4913,828,389,28081,22430,2713,1726,8155,0,15317,16864,1547,3474,8799,1433,1357,20509,42181,43.3,2630,
71194,97,17992,7490,1804,389,57507,20020,4956,2676,13568,8,28416,29945,1529,3638,16508,1219,2730,36279,38842,39,7715,
20126,58,4565,2485,488,359,10515,19004,1416,767,3049,19,7727,8367,640,1342,4156,476,456,10227,36326,40.7,1707,
58480,10,14481,8209,843,570,27955,21279,5118,2568,9365,1196,22959,25424,2465,4092,14957,2100,1462,31123,38988,35.3,3359,
49393,81,12724,6101,830,487,34306,23194,3638,1995,9193,2450,17988,20085,2097,3688,11997,1015,1250,25490,44711,37.1,3997,
208721,114,55148,21720,1217,801,163877,35330,14374,2902,45654,174,104093,108743,4650,39369,55814,2224,6282,112692,74063,38.5,18693,
103132,168,26410,12651,1758,449,80750,22278,6191,3157,19515,25,41412,44818,3406,7435,23061,2664,3625,53338,42064,40.9,11805,
64927,174,17640,7503,1302,422,58038,21217,4306,2420,12893,29,24280,26981,2701,3014,13441,1400,2498,33343,38872,42.3,5930,
55036,55,14904,6150,660,744,41509,27824,3651,1334,11811,493,24112,25436,1324,5316,13438,1139,2201,28914,55317,37.8,5227,
33895,69,8690,5004,754,437,19045,22002,2256,1264,5638,11,14527,15521,994,2131,7081,1025,996,17398,37342,43,2886,
10478,28,2424,1246,121,294,2264,20856,590,727,1155,0,4290,4882,592,485,2122,609,335,5787,29655,40.8,997,
14939,23,3879,1894,384,390,13842,20873,977,630,3072,29,5743,6232,489,807,3175,316,640,7627,37396,41.7,1184,
31507,48,8003,3530,793,381,24474,19314,2167,958,5664,2,12534,13648,1114,1722,7426,502,1127,15595,39501,37.7,3681,
37519,68,10316,4969,849,381,31320,22431,2543,1519,7841,28,14686,16445,1759,2740,7867,726,1199,18803,39467,43.4,3301,
13866,44,3601,1757,403,329,9872,21580,794,535,2535,53,5700,6089,389,1143,3055,349,618,7101,38937,41.4,1202,
104108,148,25917,13643,1405,531,69963,24781,7384,3488,17957,139,44108,47750,3642,9418,24833,2505,2053,54035,42803,39.6,8681,
119157,113,31591,14313,1573,469,91006,25013,8158,3799,23515,42,50611,54107,3496,11822,26942,2263,3977,62718,47529,40.1,12321,
43805,65,11920,4848,681,446,35207,23368,3279,1667,8652,17,17675,18946,1271,2809,9659,834,1553,22907,43501,38.9,3378,
86937,120,23503,8983,835,536,74972,24686,6024,2188,18359,54,38522,40876,2354,6366,18668,1050,2734,46772,53483,40.1,7599,
204424,267,47165,24342,2682,624,127567,24895,13965,6321,32896,117,90941,97511,6570,23230,60712,4421,4793,100407,50513,32.3,20835,
414328,554,102345,51449,6014,623,238405,24347,30409,15132,68443,672,173195,187172,13977,42066,103046,10239,9502,214000,45802,37.3,30551,
25855,30,7566,3229,509,362,23731,23010,1246,1055,6098,0,9879,10436,557,1237,5109,402,1277,13375,40041,46.1,1609,
23968,35,6306,3133,723,351,22556,20580,1361,802,4858,17,8902,9827,925,1354,4743,600,893,12317,35362,44.6,2290,
16657,26,4903,2052,269,341,14163,21191,987,765,3745,11,6307,6883,576,1178,3604,632,652,8376,36541,43.6,1712,
26572,35,7540,3153,655,398,22318,21084,1506,1022,5581,127,10306,11317,1011,1407,5667,688,831,13607,39293,42.7,2033,
13084,26,2738,2335,445,284,3217,14739,823,1430,1619,13,4353,5025,672,872,4106,707,268,6093,21663,35.9,895,
81703,105,21549,9548,1680,440,75434,21857,5643,2881,16948,48,32072,34034,1962,5409,17023,1253,3043,42212,40997,40.6,8094,
227120,305,56232,33544,2727,638,79926,26712,17220,8689,33702,1760,100874,109217,8343,28898,59592,7728,5478,118114,46545,35.9,19192,
92590,83,24532,14102,1922,464,78605,25803,5447,3017,18416,72,39857,42655,2798,8710,22423,2835,3613,45685,44888,41.5,7631,
51073,56,13431,6189,816,543,36261,26216,3520,1418,10060,1082,21639,23030,1391,5111,11864,1083,1474,26584,49821,39.3,4462,
37621,42,8513,4713,726,399,22661,18164,2495,1797,6012,0,12134,14064,1930,1956,7875,591,745,19483,35026,39.6,3213,
94738,107,24212,10376,1485,436,77467,22710,7096,2951,18544,19,38456,41140,2684,7353,22374,1714,2727,47554,41104,38.8,10236,
24625,33,6038,3564,1441,379,13057,20765,1465,1867,4559,8,7933,9357,1424,1422,5232,1143,647,12377,33827,42.2,2831,
52326,41,14140,6228,1516,405,46738,20946,3034,2253,11302,7,20261,21960,1699,3192,10509,997,2306,27208,39281,43,5837,
54435,73,14964,7019,790,423,42877,23675,3414,1971,10833,35,22180,23833,1653,4403,11445,1315,2104,28133,45477,42.5,5354,
203360,183,50029,26104,2715,731,168951,29364,13293,4273,40189,226,89527,94742,5215,29237,44265,2552,4164,104335,52562,42.6,16513,
80989,101,20929,8186,1110,608,59460,26251,5478,1853,15577,461,33054,35667,2613,7983,18985,1252,2803,43858,54981,38.5,7923,
33287,29,7320,4964,1011,460,18759,20808,2106,2087,4793,24,14352,15718,1366,2930,11213,820,709,14913,35684,31.4,2513,
91695,74,23089,9297,1027,445,70776,26685,6185,2422,18202,110,38944,41901,2957,10410,21605,1294,3296,49891,52831,39.1,8074,
16746,26,4321,1680,503,358,10907,23239,683,594,3242,0,5710,6418,708,785,3971,230,578,8714,42185,43.5,1383,
40755,96,10318,6169,1303,371,11306,18248,2825,3108,5342,28,14461,16763,2302,2181,10463,2177,1280,20222,30065,39.3,3051,
80888,108,21221,10430,1197,396,51055,21382,4790,3331,14269,22,30937,34377,3440,4620,18212,2226,2652,42722,39219,40.6,6224,
156597,101,37148,21853,2295,635,105864,26170,10954,7443,26095,743,71677,76048,4371,18261,54453,2802,4110,75616,47564,31,12603,
115527,200,30704,14395,2046,464,84006,23638,7586,4189,21414,315,47392,52701,5309,8092,27798,2664,4034,59970,43686,39.1,11206,
353213,186,91730,50523,3745,644,230104,34232,23811,8539,68337,1033,169756,181578,11822,60410,93979,6870,10688,190375,61318,38.2,27303,
659460,920,165380,96010,8943,630,332267,29456,48661,23527,107264,452,300739,325783,25044,86862,165739,20345,17013,350551,49321,37.6,62752,
10919,21,2347,1494,909,282,2937,15774,500,843,1339,29,2901,3503,602,578,2703,616,287,5297,27012,40.5,1036,
13885,30,2842,1086,280,315,8963,13142,763,397,2101,0,3359,3656,297,576,2327,327,212,8289,38873,38.6,2963,
10994,25,2927,1639,376,383,6143,21575,726,589,2030,0,4112,4539,427,736,2579,568,215,5512,36310,40.6,1166,
17514,44,5039,2300,414,367,16648,20932,1142,782,3566,0,6549,6787,238,1182,4194,523,402,8675,35930,42.2,1737,
15190,39,4021,2407,338,371,14547,19171,927,735,2891,0,6234,6582,348,725,3159,530,429,7495,32219,43.4,1486,
20771,24,5560,2622,357,393,14126,20703,1186,857,4163,0,7905,8775,870,1333,5037,542,501,10288,36407,41.8,1502,
18352,35,4833,2859,680,395,12874,23766,1403,820,3389,0,7920,8658,738,1241,3861,673,243,9401,38532,40.9,1578,
12092,38,3685,1432,231,331,11555,19674,675,323,2908,0,4132,4437,305,687,2424,234,489,5802,36051,48.1,1002,
18076,26,5057,1794,219,528,16812,25814,1111,520,3952,12,7561,8278,717,1577,4099,198,722,9384,49968,39.9,1281,
17429,29,3714,2465,219,375,13460,19458,1130,715,2532,0,5700,6127,427,755,3530,447,238,9606,32783,40.5,3009,
8332,23,2366,926,247,382,7057,23171,474,239,1809,9,3362,3599,237,641,2011,161,351,4109,44840,42.6,690,
10320,6,2752,940,168,425,9520,21781,631,238,2210,2,3943,4218,275,692,2378,184,492,5251,46168,43.7,619,
9614,30,2180,1361,558,322,3911,15610,553,682,1494,0,2842,3356,514,395,1716,516,133,5183,27901,41.9,1563,
19518,30,4802,3021,762,343,6748,17287,1417,1124,2679,0,6718,7966,1248,863,5198,1402,256,9175,26652,38.2,1492,
12443,27,3325,1585,276,374,11814,19881,660,369,2739,0,4345,4738,393,698,2476,219,390,5915,33091,49.5,873,
5194,2,1489,572,80,329,3771,22866,357,179,1072,0,2215,2350,135,302,1064,88,131,2627,37225,45.2,298,
17164,41,4769,1957,505,461,12523,22894,1145,542,3368,0,7242,7774,532,905,4031,489,472,8527,41081,40.7,1715,
20954,21,5522,2663,564,420,17139,22365,1475,771,3924,10,8377,9018,641,1500,4429,547,593,10621,39638,41.2,1794,
24098,70,6728,2755,484,364,21061,18361,1610,883,4572,0,9492,10030,538,1160,5254,720,494,12184,37487,39.7,2762,
16777,40,4507,2077,413,337,16068,19422,1016,692,3443,0,6448,7023,575,1198,4144,352,553,8148,37603,42,1816,
24378,41,6339,3677,603,331,13541,19780,1694,1394,4039,28,9290,10126,836,1549,5184,875,496,12303,32136,42.8,1762,
12094,15,3365,1865,505,303,5531,18187,899,688,2082,0,4440,5058,618,722,3033,741,146,5856,27036,40.2,1094,
22154,11,5455,2475,399,380,12226,18817,1826,749,3891,0,8819,9424,605,1228,5604,654,688,10642,38701,38.9,1468,
16751,10,4717,2150,419,419,15693,20568,826,676,3547,0,5646,6154,508,946,3103,382,527,8124,34428,47.6,990,
13521,29,3400,1789,257,364,12646,19737,753,489,2818,0,4615,5103,488,874,2399,321,520,6798,39135,48,1485,
13472,20,3483,1559,483,385,8751,23627,1060,474,2419,0,5560,5898,338,1023,3285,425,460,6643,34851,38.5,1248,
7051,7,1828,1032,277,251,4180,25140,417,495,1221,0,2580,2814,234,612,1334,285,171,3519,32500,45.8,396,
18620,26,4476,2562,740,452,12463,20300,1250,1098,3286,0,7629,8382,753,1399,5192,421,387,8596,36092,36.5,1726,
7898,26,2145,1007,183,349,7449,18053,412,322,1822,0,3114,3244,130,582,1680,99,408,3908,38134,48.8,611,
17206,23,4217,1767,366,353,10038,18388,1678,529,3124,0,7225,7733,508,699,4631,312,656,8231,43675,35,2268,
17041,39,4581,2715,338,414,15996,20078,945,769,3530,0,5867,6290,423,762,3408,336,495,7951,31792,47.3,1383,
6763,5,1724,1150,178,319,4680,19987,442,466,1142,0,2603,2894,291,436,1257,357,111,3364,30097,45.3,499,
7585,12,2003,1141,135,379,4037,18309,442,281,1408,7,2910,3110,200,569,1749,325,201,3771,35794,43.7,616,
41093,86,12048,6350,512,511,39079,24737,2014,999,9877,2,15926,16900,974,3914,7374,727,1145,19062,40072,51.8,2476,
8309,17,2550,1370,311,333,7059,22653,573,423,1791,0,3454,3737,283,602,1572,233,256,4123,41244,45.7,679,
12494,39,3297,2003,288,363,9146,23412,634,413,2387,0,4623,5153,530,661,2536,397,405,6469,36963,42.5,958,
223683,254,52180,32280,3008,590,160864,26371,18765,7266,39565,93,106905,112459,5554,25446,69296,4986,5404,110237,47452,31.5,25900,
37097,107,9886,4402,668,432,33074,23056,2600,972,7402,0,15305,16278,973,2861,8990,762,1129,18822,39945,39.8,3283,
21601,56,5338,2217,403,411,16325,20209,1552,675,4007,0,8852,9449,597,1415,5176,307,620,10973,39696,39.7,2863,
116252,131,30763,12551,870,615,99831,28410,8206,1447,23917,72,55741,58263,2522,13140,28159,1594,3217,60536,58985,39,9520,
40022,85,10769,5420,715,448,24446,23463,2849,1896,7324,14,15544,16942,1398,3928,10032,794,949,20550,41106,39.7,3006,
71568,97,19780,6501,1147,580,61925,25184,5567,1454,14948,999,32577,34224,1647,6732,18814,1358,1549,37803,57290,35.8,5330,
97994,187,25186,14876,1474,543,80927,25690,6067,3416,18582,0,39800,43747,3947,9096,20522,2930,2309,48457,41672,44.7,7574,
63372,74,14881,8266,720,513,53699,21650,4488,1960,11410,56,27026,29169,2143,5826,18101,1304,1378,30622,40668,34.9,6664,
121282,121,28714,15121,1282,615,97800,25240,8976,3401,21771,180,57306,60356,3050,13732,37129,2025,2838,59768,50316,32.3,9724,
33480,61,8573,3718,439,446,27722,20868,1863,1082,6625,0,13378,14255,877,2077,7663,580,1260,17720,40626,41.7,4121,
21802,13,5816,2453,408,374,19801,19708,1318,693,4339,16,8339,9070,731,1324,4872,453,681,11131,37982,42.2,1798,
49278,79,12099,6560,997,526,21277,20721,4421,1744,7212,0,20282,22145,1863,3440,13040,2121,911,24802,38558,35,5091,
127362,190,32435,17866,1204,500,89716,23916,9245,4519,23472,90,55376,58657,3281,11009,32068,3559,2541,65433,40932,37.3,12431,
10584,14,2691,1281,235,330,8942,18077,781,484,2050,0,4069,4550,481,368,2180,325,303,5091,37396,41.2,788,
7420,13,1935,1393,257,316,4034,20486,561,512,1187,0,2954,3248,294,379,1576,472,111,3559,31584,46.1,619,
11008,35,2825,1498,358,368,4309,20560,762,830,1713,2,3659,4071,412,727,2710,644,168,5594,32412,43.3,1506,
15907,16,4559,1631,417,456,14342,23203,1066,415,3694,14,6557,6866,309,793,3297,270,826,8019,42894,42.5,1228,
10893,15,2929,1384,219,325,9538,20180,760,382,2285,0,4466,4708,242,609,2347,199,364,5507,36893,41.8,841,
17803,29,4633,2229,279,430,16453,19988,1121,789,3601,11,6598,7063,465,1060,4064,364,413,8791,39472,41.4,1357,
9059,22,2649,1206,238,345,8238,21480,496,273,2180,0,3248,3396,148,511,1588,196,325,4427,35252,50,621,
20212,51,5458,2600,424,395,17792,18735,1322,737,4097,15,7222,7895,673,1110,4335,449,512,9724,33870,43.8,1552,
7925,14,2256,1080,173,331,7406,21475,447,418,1940,0,3082,3197,115,429,1544,167,419,3870,36716,47.3,576,
8528,22,2265,1187,274,357,5403,18644,578,329,1631,0,3294,3461,167,676,1908,266,271,4194,36995,43.8,652,
44197,60,12140,4681,562,514,41486,22094,3122,1220,9290,2,19093,20532,1439,3204,10964,657,1075,22656,45566,37.7,5140,
26688,28,5776,3549,652,404,10779,16518,1859,1380,3564,0,8677,9643,966,998,6122,1099,556,14587,33102,38.4,3177,
23992,47,6203,3134,828,438,14242,20296,1540,1277,4187,0,9877,10915,1038,1997,6712,575,605,10887,37072,36.2,1803,
